,name,postcode,property_type,bedrooms,bathrooms,parking,schools,cost_text,train_station(m),CBD(m),population2022,population2023,population2024,population2025,income2022,income2023,income2024,income2025,price_label
5321,Room 6/8 Melwood Court Meadow Heights VIC 3048,3048,Apartment / Unit / Flat,1,1,0,0.3,130.0,2131.1,19150.7,17364.0,16549.0,15773.0,15034.0,86498,88316,90176,92078,0
5569,30 Daly Boulevard Highton VIC 3216,3216,House,9,2,2,2.0,130.0,2904.1,85109.1,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
640,62 Reserve Rd Grovedale VIC 3216,3216,House,1,2,2,1.0,140.0,1809.3,87665.1,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
5570,1/57 Wanda Road Caulfield North VIC 3161,3161,House,1,1,0,0.6,140.0,1432.7,9784.5,10418.0,10185.0,9957.0,9734.0,56454,58176,59951,61780,0
5571,Room 2/31 Stanley Street Frankston VIC 3199,3199,House,1,1,1,1.1,145.0,916.1,53197.1,60500.0,59711.0,58932.0,58164.0,176387,182176,188161,194348,0
5572,1/14 Semillion Place Waurn Ponds VIC 3216,3216,House,1,2,0,2.1,145.0,1337.2,85840.8,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
5573,2/14 Semillion Place Waurn Ponds VIC 3216,3216,House,1,2,0,2.1,145.0,1337.2,85840.8,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
5579,54 Westerfield Drive Notting Hill VIC 3168,3168,House,1,2,0,1.7,150.0,4217.2,23090.3,23358.0,21169.0,19186.0,17389.0,29868,29462,29062,28667,0
5578,18 Cedarville Close Highton VIC 3216,3216,House,7,2,6,1.2,150.0,3764.0,85751.4,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
5574,3/17 Lily Street Braybrook VIC 3019,3019,House,1,1,1,0.5,150.0,2640.6,12505.3,3339.0,3296.0,3254.0,3212.0,57542,60650,63926,67379,0
5576,905/435 Nepean Highway Frankston VIC 3199,3199,Apartment / Unit / Flat,0,0,1,0.6,150.0,1270.8,53669.5,60500.0,59711.0,58932.0,58164.0,176387,182176,188161,194348,0
5577,3 Abbot Court Glen Waverley VIC 3150,3150,House,1,2,0,0.4,150.0,2350.9,21507.8,41102.0,39982.0,38898.0,37848.0,115823,119374,123056,126874,0
5575,2/2 Myora Court Chadstone VIC 3148,3148,Townhouse,7,2,2,1.2,150.0,444.8,17338.9,37903.0,37069.0,36254.0,35458.0,168631,171095,173600,176148,0
5580,70 Springthorpe Boulevard Macleod VIC 3085,3085,Apartment / Unit / Flat,1,1,0,1.0,155.0,2308.4,17340.0,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
196,"Room 6, 16 Grayling Street Belmont VIC 3216",3216,House,1,1,1,0.9,155.0,2184.0,88484.0,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
1977,116 Station St Burwood VIC 3125,3125,House,5,2,5,1.5,160.0,3545.5,16141.6,22482.0,21795.0,21129.0,20484.0,102314,103847,105411,107006,0
403,Room 4/1592 Dandenong Road Huntingdale VIC 3166,3166,Studio,0,0,1,0.4,160.0,2555.2,19590.8,26711.0,26267.0,25833.0,25407.0,120758,124077,127489,130996,0
5593,B30 BERTH MARTHA COVE MARINA Safety Beach VIC 3936,3936,House,1,1,0,1.9,160.0,19553.2,83232.0,13380.0,13629.0,13883.0,14142.0,46669,46695,46721,46747,0
5592,58 Douglas Street Noble Park VIC 3174,3174,Studio,1,1,0,0.4,160.0,225.8,34061.6,31243.0,30047.0,28899.0,27798.0,96270,98881,101565,104325,0
5591,room 5/1/133 Raleigh Road Maribyrnong VIC 3032,3032,House,0,0,1,1.2,160.0,3386.4,9202.0,35686.0,34957.0,34252.0,33571.0,199379,207294,215524,224082,0
5590,2 Clunes Street Kingsbury VIC 3083,3083,House,8,2,0,0.4,160.0,4009.7,14666.8,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
5588,232 South Valley Road Highton VIC 3216,3216,House,3,1,2,1.2,160.0,3023.0,85010.4,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
5587,26 Warbla Street Dandenong North VIC 3175,3175,House,7,5,2,0.4,160.0,3086.7,32613.8,80706.0,78906.0,77174.0,75506.0,154868,159292,163846,168535,0
5586,21 Rodd St Dandenong VIC 3175,3175,House,7,3,7,0.7,160.0,1650.1,34358.7,80706.0,78906.0,77174.0,75506.0,154868,159292,163846,168535,0
5585,35 Sarton Road Clayton VIC 3168,3168,House,1,2,0,1.5,160.0,2827.6,24398.0,23358.0,21169.0,19186.0,17389.0,29868,29462,29062,28667,0
5584,41 Bramble Crescent Bundoora VIC 3083,3083,House,3,2,2,1.7,160.0,5266.3,21320.8,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
5589,13 Hewat Drive Highton VIC 3216,3216,House,1,1,1,1.7,160.0,3391.8,85596.8,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
5594,24 Barkly Place Carlton VIC 3053,3053,Studio,1,1,0,0.7,165.0,1333.1,1626.7,20750.0,18664.0,16787.0,15099.0,35718,36817,37950,39118,0
5595,6 Katelyn Court Waurn Ponds VIC 3216,3216,House,2,2,0,2.0,165.0,1679.9,85803.7,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
5596,Room 8/103 Stanhope Street West Footscray VIC 3012,3012,House,1,1,0,0.9,165.0,801.6,10147.3,41123.0,40240.0,39379.0,38541.0,248981,258941,269322,280142,0
5583,711 Plenty Road Reservoir VIC 3073,3073,Apartment / Unit / Flat,1,1,0,0.6,165.0,2258.4,11811.1,44917.0,43681.0,42480.0,41315.0,110619,115138,119847,124755,0
5597,Room 3/103 Stanhope Street West Footscray VIC 3012,3012,House,1,1,0,0.9,165.0,801.6,10147.3,41123.0,40240.0,39379.0,38541.0,248981,258941,269322,280142,0
5582,711 Plenty Road Preston VIC 3072,3072,Apartment / Unit / Flat,1,1,0,0.4,165.0,1150.4,10489.1,36088.0,35511.0,34945.0,34389.0,130429,136500,142854,149505,0
5581,711 Plenty Road Bundoora VIC 3083,3083,Apartment / Unit / Flat,0,0,1,0.7,165.0,4350.9,16921.7,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
5606,34 Coventry Crescent Mill Park VIC 3082,3082,House,9,2,2,0.4,170.0,4680.3,21957.1,17550.0,17049.0,16562.0,16089.0,59853,61995,64214,66512,0
5605,141 Waverley Road Malvern East VIC 3145,3145,Apartment / Unit / Flat,1,1,0,0.7,170.0,1043.2,13731.7,43092.0,41863.0,40672.0,39516.0,185083,189702,194442,199307,0
5604,Rooms at/35 Bradshaw Street Kingsbury VIC 3083,3083,Studio,1,1,0,0.1,170.0,3448.9,14701.7,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
5360,Room 7/96 Dunne Street Kingsbury VIC 3083,3083,House,1,1,0,0.4,170.0,3031.0,14831.9,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
5602,88 Paisley Street Footscray VIC 3011,3011,House,1,1,0,0.1,170.0,435.3,7038.6,25749.0,25312.0,24882.0,24461.0,135845,141657,147725,154059,0
5607,1/60 The Avenue Prahran VIC 3181,3181,Apartment / Unit / Flat,1,1,0,0.5,170.0,1035.5,6787.1,20442.0,19535.0,18669.0,17840.0,76595,80071,83705,87504,0
5600,Room 1/3A Gardiner Road Clayton VIC 3168,3168,Townhouse,1,1,0,1.0,170.0,2754.7,21253.1,23358.0,21169.0,19186.0,17389.0,29868,29462,29062,28667,0
5598,Room 6/16 Doidge Street Bundoora VIC 3083,3083,House,8,3,3,0.7,170.0,3969.6,16805.4,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
5603,4/9 Edward Street Hastings VIC 3915,3915,Studio,0,0,1,1.4,170.0,1480.8,74738.2,12916.0,12898.0,12879.0,12861.0,101996,104904,107921,111052,0
5599,1/53 STOCKDALE AVENUE Clayton VIC 3168,3168,House,1,1,0,0.3,170.0,2003.3,22112.0,23358.0,21169.0,19186.0,17389.0,29868,29462,29062,28667,0
5601,408/51 Gordon Street Footscray VIC 3011,3011,Apartment / Unit / Flat,0,0,1,0.4,170.0,1763.4,8300.7,25749.0,25312.0,24882.0,24461.0,135845,141657,147725,154059,0
5608,"Room 2, 55 Willesden Drive Waurn Ponds VIC 3216",3216,House,0,0,2,1.5,170.0,957.0,85180.9,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
839,9 Villamanta Street Geelong West VIC 3218,3218,House,13,3,0,0.3,170.0,1117.6,78085.3,19644.0,19858.0,20074.0,20294.0,132079,138025,144254,150781,0
5064,R2/26A Queen Street Frankston VIC 3199,3199,House,1,1,0,1.2,170.0,1043.1,53369.4,60500.0,59711.0,58932.0,58164.0,176387,182176,188161,194348,0
5609,Room 2/25-29 Orpington Crescent Marshall VIC 3216,3216,House,1,1,0,0.7,175.0,621.8,89178.1,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
5622,Rm 3/14 Resolute Drive Waurn Ponds VIC 3216,3216,House,5,2,1,2.0,180.0,625.1,5541.5,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
5621,36 Coventry Crescent Mill Park VIC 3082,3082,House,1,2,4,0.4,180.0,4703.2,21980.0,17550.0,17049.0,16562.0,16089.0,59853,61995,64214,66512,0
5620,949 Dandenong Road Malvern East VIC 3145,3145,Apartment / Unit / Flat,1,1,0,1.0,180.0,1045.1,13949.4,43092.0,41863.0,40672.0,39516.0,185083,189702,194442,199307,0
5273,Room 8/96 Dunne Street Kingsbury VIC 3083,3083,Apartment / Unit / Flat,1,1,1,0.4,180.0,3031.0,14831.9,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
5619,45A/116-130 Main Drive Macleod VIC 3085,3085,Studio,1,1,0,0.8,180.0,3272.0,16348.5,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
5618,116-130 Main Drive Macleod VIC 3085,3085,Studio,0,0,1,0.8,180.0,3218.1,16368.6,14992.0,14668.0,14352.0,14045.0,115582,119258,123055,126977,0
5617,205 Waiora Road Heidelberg Heights VIC 3081,3081,House,1,3,3,0.3,180.0,1745.2,16032.0,15024.0,14635.0,14257.0,13889.0,60057,62547,65140,67840,0
5615,1/5 Browns Road Clayton VIC 3168,3168,Apartment / Unit / Flat,6,3,0,0.3,180.0,2005.9,22901.3,23358.0,21169.0,19186.0,17389.0,29868,29462,29062,28667,0
5614,2/37 Stockdale Avenue Clayton VIC 3168,3168,House,7,3,2,0.3,180.0,2147.0,21968.3,23358.0,21169.0,19186.0,17389.0,29868,29462,29062,28667,0
5613,255 Cardigan Street Carlton VIC 3053,3053,Apartment / Unit / Flat,1,1,0,0.4,180.0,1499.4,1793.0,20750.0,18664.0,16787.0,15099.0,35718,36817,37950,39118,0
5612,13 Norris Crescent Bundoora VIC 3083,3083,House,1,1,0,0.2,180.0,2992.8,17055.3,13779.0,13390.0,13013.0,12647.0,101467,104771,108188,111721,0
5611,3 Holmes Street Brunswick East VIC 3057,3057,Apartment / Unit / Flat,1,1,0,0.6,180.0,1296.4,6218.7,14522.0,14550.0,14578.0,14607.0,73120,77122,81343,85795,0
5616,20-22 Delta Avenue Coburg North VIC 3058,3058,House,1,1,0,1.3,180.0,341.3,12906.6,37334.0,36772.0,36219.0,35674.0,132414,138563,144998,151732,0
5610,3/8 Dunn Street Broadmeadows VIC 3047,3047,Townhouse,1,1,1,1.0,184.0,476.2,15130.2,24150.0,23105.0,22106.0,21152.0,75836,75976,76131,76301,0
5625,"Room 3, 93 Fogarty Avenue Highton VIC 3216",3216,House,1,1,1,1.6,185.0,3631.4,85836.4,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432,0
