name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
1/1 Ellesmere Road Windsor VIC 3181,$330 pw,"[-37.8570864, 144.9995459]","['1 Bed', '1 Bath', '1 Parking']",Leasing Team,Available Now,Apartment / Unit / Flat,"['0.3 km away', '0.9 km away', '3.1 km away']"
10/16 Kemp Street Thornbury VIC 3071,$295,"[-37.761921, 144.995138]","['1 Bed', '1 Bath', '1 Parking']",This first floor one bedroom apartment comprises light filled kitchen with stainless steel electric cooktop and stainless steel electric under bench oven. Light filled and spacious lounge room with electric heating. Carpeted bedroom with great sized BIR and main central tiled bathroom with shower over bath and washing machine taps for those not fond of communal laundries. If you've been looking,"Tuesday, 18th October 2022",Apartment / Unit / Flat,"['0.7 km away', '0.7 km away', '1.4 km away']"
305/83 Queens Road Melbourne VIC 3004,$450 per week,"[-37.8542601, 144.9804163]","['1 Bed', '1 Bath', '1 Parking']","Boasting a prized inner city address in a highly sought-after Queens Road secure complex, this outstanding one-bedroom apartment presents the ultimate in contemporary designer living. Elegantly appointed throughout, the surprisingly spacious open plan design is complemented by a private covered entertaining terrace and exceptional residents' facilities. A fantastic opportunity for renters, this","Wednesday, 28th September 2022",Apartment / Unit / Flat,"['1 km away', '1.4 km away', '3.1 km away']"
1810/8 Marmion Place Docklands VIC 3008,$500 per week,"[-37.8133446, 144.9425312]","['1 Bed', '1 Bath', '1 Parking']","Experience a first class inner city lifestyle in Docklands. Enjoy the convenience of living alongside the stunning harbour, restaurants, cafes, the CBD, Harbour Town and Etihad Stadium and transport right at your door step. Docklands stunning development, Harbour One is ready for you to move in!
This stunningly spacious one bedroom apartment is well set out, including a modern kitchen with stone","Friday, 7th October 2022",Apartment / Unit / Flat,['2.2 km away']
413/8 Olive York Way Brunswick West VIC 3055,$350 per week,"[-37.7590279, 144.9397616]","['1 Bed', '1 Bath', '1 Parking']","If space, light and location is what you are looking for, then you don't need to look any further!","Friday, 28th October 2022",Apartment / Unit / Flat,"['0.4 km away', '2 km away']"
4/487 Ryrie Street East Geelong VIC 3219,$260 per week,"[-38.1552339, 144.3822318]","['1 Bed', '1 Bath', '1 Parking']",Located just minutes away from the City Centre sits this one-bedroom unit! ,Available Now,Apartment / Unit / Flat,"['0.8 km away', '1.2 km away', '2.6 km away']"
803/483 Swanston Street Melbourne VIC 3000,$500 per week,"[-37.8072179, 144.9623358]","['1 Bed', '1 Bath', '− Parking']","Nestled within the popular Verve residential building, this one-bedroom apartment is offered UNFURNISHED and is perfect for students or professionals alike. ",Available Now,Apartment / Unit / Flat,"['0.9 km away', '1.3 km away']"
506/179 Boundary Road North Melbourne VIC 3051,$400 per week,"[-37.7889129, 144.9392885]","['1 Bed', '1 Bath', '1 Parking']","Furniture is not included, photo is for illustration only.
This is classic inner-city living with all the lifestyle benefits. Which your everyday life will be centre around with the open-plan and light-filled kitchen, incorporating stylish stone/stainless steel kitchen dining and living room with crisp white walls, on-trend flooring and private balcony terrace, Sleek euro laundry bathroom, split","Friday, 7th October 2022",Apartment / Unit / Flat,"['0.5 km away', '0.9 km away']"
5/42 Tranmere Avenue Carnegie VIC 3163,$330,"[-37.89099849999999, 145.0605786]","['1 Bed', '1 Bath', '1 Parking']",Leafy central location one of only 8 units.,"Saturday, 15th October 2022",Apartment / Unit / Flat,"['0.5 km away', '2.1 km away', '4 km away']"
5/2 Coles Court Beaumaris VIC 3193,$365.00,"[-37.9796782, 145.0467998]","['1 Bed', '1 Bath', '− Parking']","Perfectly positioned near the beach with a short stroll to shops, sought after schools 
and bus stop, this spacious, fully renovated, newly carpeted one bedroom unit with study nook, exudes a particularly uplifting ambiance and the promise of a truly fulfilled lifestyle. ","Friday, 7th October 2022",Apartment / Unit / Flat,"['0.6 km away', '1 km away', '1.2 km away']"
113/191 Powlett Street East Melbourne VIC 3002,$420.00,"[-37.8100943, 144.9860492]","['1 Bed', '1 Bath', '1 Parking']","Elegantly designed and tempered with industrial hallmarks, this stunning residence on the site of the former Victoria Brewery awaits. Boasting an Innovative design that maximizes space and delivers absolute quality in one of East Melbourne's desired locations.",Available Now,Apartment / Unit / Flat,"['0.9 km away', '7.7 km away']"
808/2 Joseph Road Footscray VIC 3011,$390,"[-37.80033230000001, 144.9096597]","['1 Bed', '1 Bath', '1 Parking']",Mary Mezei,"Friday, 30th September 2022",Apartment / Unit / Flat,"['1.1 km away', '1.7 km away', '1.7 km away']"
1216/39 Coventry Street Southbank VIC 3006,$395,"[-37.8294033, 144.9692407]","['1 Bed', '1 Bath', '− Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 28th October 2022",Apartment / Unit / Flat,"['1.4 km away', '2.5 km away', '3.1 km away']"
