name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
54 Festival Drive Point Cook VIC 3030,$550,"[-37.9087147, 144.7480729]","['4 Beds', '2 Baths', '2 Parking']","Make the Perfect lifestyle choice to nest building with a quality house and luxurious amenities. This fantastic house is in a highly convenient position within a close distance to all amenities offered by Point Cook P-9 school, Prestigious Suzanne Cory school, shopping centers, kindergarten, sports oval, public transport and diamond interchange at sneydes road and only a short drive to freeway",Available Now,House,"['0.6 km away', '1.9 km away']"
5 Godfrey Street Aintree VIC 3336,Enquire Now: $450 per week,"[-37.7174575, 144.6702012]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Saturday, 1st October 2022",House,"['5 km away', '9.9 km away']"
36 Fairhall Avenue Werribee VIC 3030,$395.00,"[-37.9043955, 144.6123871]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Monday, 10th October 2022",House,['3.5 km away']
23 Brooksby Circuit Harkness VIC 3337,$410.00,"[-37.6562253, 144.5660249]","['4 Beds', '2 Baths', '2 Parking']","LandLaunch is excited to present this large single dwelling home with open plan living and abundance of space and storage is guaranteed to impress. 
Offering a sperate lounge room area to accommodate for any growing family. 
You will be amazed with the decent size bedrooms including master bedroom with WIR &amp; En-suite and a remote shutter to the main window. ","Wednesday, 21st September 2022",House,"['2.4 km away', '2.6 km away']"
90 Ballarat Road Maidstone VIC 3012,$500 per week,"[-37.7863413, 144.8779938]","['4 Beds', '1 Bath', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['0.5 km away', '1.2 km away', '2.1 km away']"
34 Nash Bvd Rockbank VIC 3335,420,"[-37.734347, 144.6499434]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 14th October 2022",House,"['1.1 km away', '7.1 km away', '9.4 km away']"
26 Stockmans Drive Truganina VIC 3029,$440 per week,"[-37.8121022, 144.7172158]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 23rd September 2022",House,"['3 km away', '4.1 km away']"
15 Cherry Blossom Close Craigieburn VIC 3064,$470 pw,"[-37.5865841, 144.9255264]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Sunday, 25th September 2022",House,"['0.7 km away', '0.7 km away']"
8 McCubbin Drive Mount Duneed VIC 3217,$500,"[-38.2350971, 144.3274768]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['1 km away', '2.7 km away']"
298 Hyde Street Yarraville VIC 3013,$590 per week,"[-37.8231428, 144.8952791]","['4 Beds', '1 Bath', '4 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['1.2 km away', '1.3 km away', '3.6 km away']"
