name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
607/146 Bellerine Street Geelong VIC 3220,$600.00 per week,"[-38.1535434, 144.3635281]","['2 Beds', '2 Baths', '1 Parking']","Located on the 6th floor of the G1 Apartment building in the heart of Geelong's medical district, this fully furnished luxurious two bedroom apartment with roof top deck, offers sweeping views across Corio Bay and is designed for convenience and lifestyle. ",Available Now,House,"['0.6 km away', '0.9 km away', '1 km away']"
808/243 Franklin Street Melbourne VIC 3000,$500,"[-37.809763, 144.9569891]","['2 Beds', '1 Bath', '− Parking']",Christian Hidayat,"Tuesday, 18th October 2022",Apartment / Unit / Flat,"['1.4 km away', '1.4 km away']"
39 Castleton Road Viewbank VIC 3084,$895.00,"[-37.7310946, 145.0939445]","['5 Beds', '3 Baths', '3 Parking']","This is a rare opportunity in an idyllic and tightly held pocket of Viewbank where you and your family can enjoy a stunning leafy neighbourhood, beautiful gardens and an inviting and lovingly maintained home that is poised and ready for family life. Best of all, you will be positioned within the catchment zones for both Viewbank College and Viewbank Primary School!",Available Now,House,"['0.5 km away', '1.3 km away']"
42 Barberr Drive Hoppers Crossing VIC 3029,$495,"[-37.8699681, 144.6793748]","['4 Beds', '2 Baths', '2 Parking']","This single storey home Located at Cambridge Estate and walking distance to Cambridge Primary School and Pacific Werribee. The Public bus stop are just step away from the house. 
- Large Master Bedroom with Large Ensuite 
- Second Bedroom with Double Build-In-Robe
- Third Bedroom with Double Built-In-Robe. 
- Fourth Bedroom with Double Built-In-Robe. 
- 2 Separate Living areas with floorboard",Available Now,House,"['0.4 km away', '1.4 km away']"
6 Maspeth Crescent Point Cook VIC 3030,$450,"[-37.890783, 144.7117076]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Thursday, 3rd November 2022",House,"['1.3 km away', '1.9 km away']"
3/10 Ashby Grove Eaglemont VIC 3084,$440.00,"[-37.7671267, 145.0521584]","['2 Beds', '1 Bath', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,Apartment / Unit / Flat,"['0.8 km away', '2.7 km away', '5.7 km away']"
26 Angus Avenue Altona North VIC 3025,$420,"[-37.8364048, 144.856943]","['3 Beds', '1 Bath', '3 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['0.7 km away', '6.3 km away']"
210/2 Murray Street Brunswick West VIC 3055,$550 weekly,"[-37.7596354, 144.9441224]","['2 Beds', '1 Bath', '1 Parking']","This stunning apartment boasts 2 huge bedrooms, master with ensuite, and separate shared bathroom located on level 2 of the INC development in Brunswick West. Located only approx 5.5km from Melbourne's CBD and steps from public transport on Melville Road, this apartment ensures a private living experience. Features include: - 2 Huge bedrooms with B.I.R - 2 Spacious bathrooms - Open plan living","Thursday, 6th October 2022",Apartment / Unit / Flat,"['0.4 km away', '1.7 km away']"
39 Hinkins Street Moonee Ponds VIC 3039,$690 per week,"[-37.7677904, 144.9264717]","['2 Beds', '2 Baths', '1 Parking']",Andrew D'Aprano,"Tuesday, 15th November 2022",House,"['0.7 km away', '1.7 km away', '8.8 km away']"
1410/265 Exhibition Street Melbourne VIC 3000,$750 pw,"[-37.8095971, 144.9692227]","['3 Beds', '2 Baths', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,Apartment / Unit / Flat,"['0.8 km away', '1.8 km away']"
